"Country","Tag","Colonial Affairs","Social Security","Workplace Safety","Schools","Police","Healthcare","Home Affairs","Tax Level","Market Capital","","","","","","","","","","","","","","",""
"Austria-Hungary","AUS","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","",""
"Belgium","BEL","","","","","","","","","","","","","","","","","","","","","","","",""
"Canada","CAN","0","1","0","2","2","1","2","","","","","","","","","","","","","","","","",""
"France","FRA","","","","4","","","","","","","","","","","","","","","","","","","",""
"Germany","GER","","","","","","","","","","","","","","","","","","","","","","","",""
"Great Britain","GBR","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","ITA","","","","","","","","","","","","","","","","","","","","","","","",""
"Japan","JAP","","","","","","","","","","","","","","","","","","","","","","","",""
"Romania","ROM","","","","","","","","","","","","","","","","","","","","","","","",""
"Russia","RUS","","","","","","","","","","","","","","","","","","","","","","","",""
"Serbia","SER","","","","","","","","","","","","","","","","","","","","","","","",""
"United States","USA","0","1","1","3","2","1","2","","","","","","","","","","","","","","","","",""
"Afghanistan","AFG","","","","","","","","","","","","","","","","","","","","","","","",""
"Albainia","ALB","","","","","","","","","","","","","","","","","","","","","","","",""
"Argentina","ARG","","","","","","","","","","","","","","","","","","","","","","","",""
"Australia","AST","","","","","","","","","","","","","","","","","","","","","","","",""
"British Honduras","BLZ","","","","","","","","","","","","","","","","","","","","","","","",""
"Bolivia","BOL","","","","","","","","","","","","","","","","","","","","","","","",""
"Brazil","BRZ","","","","","","","","","","","","","","","","","","","","","","","",""
"British Raj","BIC","","","","","","","","","","","","","","","","","","","","","","","",""
"Nepal","NEP","","","","","","","","","","","","","","","","","","","","","","","",""
"Bhutan","BHU","","","","","","","","","","","","","","","","","","","","","","","",""
"Bulgaria","BUL","","","","","","","","","","","","","","","","","","","","","","","",""
"Chile","CHL","","","","","","","","","","","","","","","","","","","","","","","",""
"China","CHI","","","","","","","1","","","","","","","","","","","","","","","","",""
"Colombia","CLM","","","","","","","","","","","","","","","","","","","","","","","",""
"Costa Rica","COS","","","","","","","","","","","","","","","","","","","","","","","",""
"Denmark","DEN","","","","","","","","","","","","","","","","","","","","","","","",""
"Dutch East Indies","DEI","","","","","","","","","","","","","","","","","","","","","","","",""
"Ecuador","ECU","","","","3","","","","","","","","","","","","","","","","","","","",""
"El Salvador","ELS","","","","","","","","","","","","","","","","","","","","","","","",""
"Finland","FIN","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","GRE","","","","","","","","","","","","","","","","","","","","","","","",""
"Guatemala","GUA","","","","","","","","","","","","","","","","","","","","","","","",""
"Honduras","HON","","","","","","","","","","","","","","","","","","","","","","","",""
"Johore","JOH","","","","","","","","","","","","","","","","","","","","","","","",""
"Korea","KOR","","","","","","","","","","","","","","","","","","","","","","","",""
"Luxembourg","LUX","","","","","","","","","","","","","","","","","","","","","","","",""
"Mexico","MEX","","","","","","","","","","","","","","","","","","","","","","","",""
"Montenegro","MON","","","","","","","","","","","","","","","","","","","","","","","",""
"Netherlands","NET","","","","","","","","","","","","","","","","","","","","","","","",""
"New Zealand","NZL","","","","","","","","","","","","","","","","","","","","","","","",""
"Newfoundland","NEW","","","","","","","","","","","","","","","","","","","","","","","",""
"Nicaragua","NIC","","","","","","","","","","","","","","","","","","","","","","","",""
"Oman","OMA","","","","","","","","","","","","","","","","","","","","","","","",""
"Ottoman Empire","TUR","","","","","","","","","","","","","","","","","","","","","","","",""
"Panama","PNM","","","","","","","","","","","","","","","","","","","","","","","",""
"Paraguay","PRG","","","","","","","","","","","","","","","","","","","","","","","",""
"Persia","PER","","","","","","","","","","","","","","","","","","","","","","","",""
"Peru","PEU","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","POR","","","","","","","","","","","","","","","","","","","","","","","",""
"Dominican Republic","DOM","","","","","","","","","","","","","","","","","","","","","","","",""
"Siam","SIA","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","SPA","","","","","","","","","","","","","","","","","","","","","","","",""
"Switzerland","SWI","","","","","","","","","","","","","","","","","","","","","","","",""
"Uruguay","URU","","3","","3","","","","","","","","","","","","","","","","","","","",""
