Country,Tag,Colonial Affairs,Social Security,Workplace Safety,Schools,Police,Healthcare,Home Affairs,Tax Level,Market Capital
Austria-Hungary,AUS,0,1,0,2,3,0,2,,
Belgium,BEL,0,1,1,4,2,1,1,,
Canada,CAN,0,1,1,4,2,1,1,,
France,FRA,0,2,1,4,3,2,0,,
Germany,GER,0,2,1,4,2,2,2,,
Great Britain,GBR,0,2,2,4,3,2,2,,
Italy,ITA,0,1,1,3,2,1,2,,
Japan,JAP,0,0,0,3,2,0,3,,
Romania,ROM,0,0,0,1,1,0,1,,
Russia,RUS,0,0,1,1,2,1,2,,STATE_MOSCOW
Serbia,SER,0,0,0,2,1,0,1,,
United States,USA,0,1,1,3,2,1,2,,STATE_NEW_YORK
Afghanistan,AFG,0,,,,,,,,
Albania,ALB,0,0,0,0,0,0,0,,
Argentina,ARG,0,1,0,2,2,1,1,,
Australia,AST,0,1,1,2,2,1,1,,
British Honduras,BLZ,0,,,,,,,,
Bolivia,BOL,0,0,0,2,0,0,0,,
Brazil,BRZ,0,0,0,3,1,0,0,,
British Raj,BIC,0,,,,,,,,STATE_BOMBAY
Nepal,NEP,0,,,,,,,,
Bhutan,BHU,0,,,,,,,,
Bulgaria,BUL,0,0,0,1,1,1,1,,
Chile,CHL,0,1,0,2,1,0,0,,
China,CHI,0,0,0,0,0,0,1,,
Colombia,CLM,0,0,0,2,2,1,1,,
Costa Rica,COS,0,1,0,3,0,0,0,,
Denmark,DEN,0,2,0,4,2,1,1,,
Sweden,SWE,0,2,0,4,2,1,1,,
Norway,NOR,0,1,0,3,1,1,1,,
Dutch East Indies,DEI,0,0,0,0,0,0,0,,
Ecuador,ECU,0,2,0,3,0,0,0,,
El Salvador,ELS,0,0,0,3,0,0,0,,
Finland,FIN,0,0,0,2,0,0,0,,
Greece,GRE,0,0,0,2,1,1,2,,
Guatemala,GUA,0,,,,,,,,
Honduras,HON,0,,,,,,,,
Johore,JOH,0,,,,,,,,
Korea,KOR,0,,,,,,,,
Luxembourg,LUX,0,,,,,,,,
Mexico,MEX,0,,,,,,,,
Montenegro,MON,0,0,0,1,1,0,1,,
Netherlands,NET,0,0,0,4,2,1,1,,
New Zealand,NZL,0,,,,,,,,
Newfoundland,NEW,0,1,1,3,1,1,1,,
Nicaragua,NIC,0,,,,,,,,
Oman,OMA,0,,,,,,,,
Ottoman Empire,TUR,0,0,0,2,2,0,2,,
Panama,PNM,0,,,,,,,,
Paraguay,PRG,0,,,,,,,,
Persia,PER,0,0,0,2,2,0,2,,
Peru,PEU,0,,,,,,,,
Portugal,POR,0,0,0,3,2,0,2,,
Dominican Republic,DOM,0,,,,,,,,
Siam,SIA,0,,,,,,,,
Spain,SPA,0,0,0,2,1,0,1,,
Switzerland,SWI,0,0,0,4,0,0,0,,
Uruguay,URU,0,3,,3,,,,,
Tunisia,,0,,,,,,,,
