Region Tag,ID Number,Homelands,Subsistence Building,City,Port,Farm,Mine,Wood,Arable Land,Provinces,Traits,Arable Resources,Caped Resources,Naval Exit,Prime Land
STATE_SVEALAND,1,cu:swedish,building_subsistence_pastures,x9686A5,x93C3BC,xF48646,x6F40EC,x4C9918,30,x4628A5 x4836F2 xF8E400 xF08323 x432E07 x823263 xD702F7 xB3F1FB xC8AEAF x4B02EB x8AC21D x62D0D4 x6CF949 xEA6A0F xA9078A xC0C0E0 x6E95C2 x9BBBE3 x6F40EC x93C76C xB90566 xE7A6D6 xEB5D5F x404643 x24A2F1 x4C9918 xA001A0 xA86C50 x216569 x298E7B x36F523 xF48646 xFCCAFA x0974E5 xA08021 xD155CE x3E2C22 x317138 xA6C31B xB9391F xC480A5 xA82FF7 x604060 x90845E x93C3BC xE9B084 x9686A5 x656512 xEFA14D x41C729 x45B6EF xBC0288 xD96FB9 x3844C0 xCBFD28 xCF16B1 xE6C5FC x4FA424,state_trait_bergslagen state_trait_scandinavian_forests state_trait_natural_harbors,bg_rye_farms bg_livestock_ranches,bg_iron_mining=36 bg_lead_mining=18 bg_logging=23 bg_fishing=11,3000,
STATE_GOTALAND,2,cu:swedish,building_subsistence_farms,x90B30A,x41C0E0,x0212F4,xA67CC8,xEA7E80,35,x4539F8 x04C53E x41C061 xC62E6A x2B5590 xB714A1 x90B30A xA00120 xB7733E x0212F4 x71C4AC x06D48F x31D8B4 x4040DF xA0DB88 xCD8A76 xA67CC8 xDFD8A5 xFCBE2E x1B711F x46568F xEA7E80 xE5A269 xE70DB3 x6C9F3E x786C46 x41C0E0,state_trait_scandinavian_forests,bg_rye_farms bg_livestock_ranches,bg_iron_mining=15 bg_logging=17 bg_fishing=15,3019,
STATE_SCANIA,3,cu:swedish,building_subsistence_farms,x2F5177,xC04161,xD4DC3C,xFBA406,xD19738,20,xC0C061 x187CE5 xFBA406 xD4DC3C x5D997D xAB6EC7 xBE3D27 xD19738 xC04161 x2F5177,state_trait_scanian_soils state_trait_natural_harbors,bg_rye_farms bg_livestock_ranches,bg_coal_mining=8 bg_logging=5 bg_fishing=10,3019,
STATE_NORRLAND,4,cu:swedish cu:sami,building_subsistence_farms,xE08001,xD2B7E0,x3755D9,xD5FBFC,x420C00,22,xCD1FD5 x3C380F x0B4908 xD2391D x36E9BA x099666 x9DC69F xE56FE5 xBA8A9D x47F238 x03B36A x628C3C x611A6B x57503D x10D8D8 x4D99D0 xC4C901 xDAF45E x918BA2 xB044F6 xD65AA2 x527230 x14CAC8 x4265D2 x09FFED xBAA18C x8039FC x151F54 x5F6273 xD94B80 x7D7947 x36C15B xD11F7D x9371B0 x1B4D60 xF561EA x542385 xD523E3 xB44696 x3C0AB2 xC202DF x3A414C x480DD3 x23BDCB xE5591E x8BB571 xE612BF xE1AF5C x7C4A83 xF3C7F6 x5D8E92 x08D197 xA5646C x69CDA6 x9250AD xA56D10 xD85905 x761B27 xE08001 xE0D494 xB08854 xA37B45 x61741A x2D39E7 xA0D2B0 xEE68C2 xB2359B xA23906 xD42DD0 x96C8D6 xE04BF5 xC416A1 x724142 x2400E6 x4B2FC0 x83A641 x09D644 xC24915 x7238AF x43613F x17F5A8 x088E56 xAAC957 xD56426 xED6A40 xF4B64B x3536B3 x114DC0 xD884CA x2FB6A7 x65B92F x5F4052 xD2B7E0 x3DFA21 x0C8979 x1A295F xA33BA5 xFAE2CD x45F53A x0B5DDB x3971BD xC901E8 x6CBB46 xAEC76F x0B3385 x96F571 xEAFB06 x420C00 x49AFFE xC13E1E x7A8123 xB2E726 x60D50A x66BF36 xB372EF x5ECC55 x4C05DB x610180 xC2087C xD56867 xFF6F4B x8D2552 x0AF217 x0D190C x8009C9 xCC3115 x008BB6 xC7CA0F x1038C8 x9DE993 x19490C x7B5240 xA7B5CE x988205 x8806E2 x41C0C0 x84DE76 x201348 x1B880D xB0CD27 xDF0080 x1F7647 x86050C x5C738D xE99CC9 xFE7B03 xA27DDB x3DF5D6 xC08CD2 xFECE8F xD46B93 x3B3CE9 x2D90A0 x1B9E26 xA61D8D x62F809 x7EB12E x9001B6 x71B772 xF1329A xD30875 x6A76CF x254371 x280ADD x2D0B55 xD5FBFC x12A0A6 x62CF2F xA23443 xD582BB x1DEDA9 x3755D9 x7D4196 x5A1735 x61C061 x67082A x8EADE6 xDD78C9 x578A4F x0B904B x137BA3 x034858 xC29B05 x17C5B9 xC59B64 x4DDB2C,state_trait_malmberget state_trait_scandinavian_forests,bg_livestock_ranches,bg_iron_mining=40 bg_logging=20 bg_fishing=12,3000,
STATE_GOTLAND,5,cu:swedish,building_subsistence_farms,xF93B61,x21C0E0,xF93B61,,,3,x21C0E0 xF93B61,state_trait_good_soils,bg_rye_farms bg_livestock_ranches,bg_logging=2 bg_fishing=3,3000,
STATE_JUTLAND,6,cu:danish,building_subsistence_farms,x951AF2,x8041E0,xB0B469,x770871,xEBF079,35,x2D2259 xEBF079 x770871 x0040DF x1F29B8 x83E6B1 x951AF2 xB0B469 x94468F xBA6413 x8041E0 x00BFDF,state_trait_good_soils,bg_rye_farms bg_livestock_ranches,bg_logging=6 bg_fishing=10,3019,
STATE_ZEALAND,7,cu:danish,building_subsistence_farms,x7F0BF0,xED2792,x0CAEA7,x9000E0,xC16C09,25,xED2792 xC16C09 x7F0BF0 x0CAEA7 x9000E0,state_trait_oresund state_trait_odensefjorden,bg_rye_farms bg_livestock_ranches,bg_logging=4 bg_fishing=12,3019,
STATE_WESTERN_NORWAY,8,cu:norwegian,building_subsistence_farms,x130906,x68D9BA,x0E3D86,x608020,x608020,20,x0E3D86 x7F0E9A xCF56A8 x43D0DD x087559 xD32538 x608020 x25D82F x2803F8 x68D218 xF68E1F xE08020 x261C75 xBDB05B x713F62 xA68FB9 x4427D4 x281240 x4E1EF2 x600120 xF0F6EC x698566 xBD2765 x054DDE xC32D3B x3FCBD3 xE75551 x79D41F xD26499 x818B5C x95773A x902BE5 x12FF9E x639BE2 xCD61E8 xFB677C x7F0C6C x4F31B0 xE5E38E x07973A x279380 xE37D01 x130906 x1AE434 x3B7813 x71D161 x68D9BA x6C9016 x14B28C xDBDCD5 xD5D1BC,state_trait_north_sea_fishing state_trait_hardangerfjorden,bg_rye_farms bg_livestock_ranches,bg_sulfur_mining=20 bg_logging=14 bg_fishing=15,3027,
STATE_NORTHERN_NORWAY,9,cu:norwegian cu:sami,building_subsistence_pastures,xD31959,xE5B868,x38427D,xB50EB0,x042C26,20,x70DE38 xECB406 xC86A6C xFAC5E3 xC30E30 xEB97D0 x2714DA x25FF71 xBDE8E5 x485E7C x7AE985 x3411CB x6F0070 xC1B67D xBEE0E7 x6480A4 x81E110 xD09F0A xE1F410 x3A4A5B x4FB8C3 xC9D240 xFEC50D xB5F85B x38427D x0DAA5F xE1D87A x614319 xE6030F x4899E9 x09C02E xBEEB35 x4E2F0A x8B1F54 xD642D6 x86E184 x882403 x6278B4 x7005BB xFEA2FF x9BF025 x5BE09E x9CCA2C x0A9659 xF2B264 xE22563 x80A2FD x1D6E8B x2495FE xE5B868 x46AD99 xC6AC2B x5F553A xB1B071 xF90CF0 x4040C0 x31968A x207DC7 x72E8FA x042C26 x830022 x019127 x98003F xB50EB0 xEE26D3 x23D076 xCAC65D x9648D4 x3D2F34 xC0C0C0 x37729A x618080 x7F2EF1 x420A56 xD7313C x6EEF13 x33E4D8 xC456A3 x6D989B x1AF7FA x45E6AA x9BB6A2 x4A4712 x89ED8E xA49115 x474F84 x74BF34 xEFBAB6 x09E374 x1F2ABE x1E1123 xDAD4E4 xD1393B xD31959 xB359B3 x47561E xA7D897 x14814F xC040C0 xC3E351 x61E786 x0DE95F x34DA8D x5AE106 x1694B1 xF317ED x3B2323 xAFCD48 x86F266 xE4D32D x73F0BB xC82160 xFAFC5B xD27CE2 x4121CE x54FB07 xCB1829 x2A5968 x1D68E4 xCEC4EF x3C706D x4EA73C x4FB481 x4A17E4 x3A108F x592B51 xC4495B xD2422B xCD2ECC xA0F892 x46033F xACD6A1 x041759,state_trait_north_sea_fishing state_trait_arctic_whaling state_trait_trondhjemsfjorden,bg_livestock_ranches,bg_iron_mining=18 bg_sulfur_mining=20 bg_logging=6 bg_whaling=10 bg_fishing=10,3020,
STATE_EASTERN_NORWAY,10,cu:norwegian,building_subsistence_farms,xC041E0,xC041E0,x95A154,x49B529,x1255CC,20,xFE44C9 x95A154 x5710E5 x43B12C x907B35 xC041E0 xA32B85 x1255CC x01EB0A x2080A0 x6AC2AF x0844FB x2F2504 xB88734 x8F7F39 xA57AFC x60BE85 x9DB9F4 x4D0D24 xAEEE54 x673DA2 x12548F x549C3A x2AAFE1 x3AE094 x49B529 xDE9061 x8277CF xB9763B xC9D63F x8FC6B4 xE12212 x85F71F xB182B1 xBA99BA xE3582F x6000A0 x35369F xE8E297 x777860,state_trait_christianiafjorden state_trait_kongsberg_silver_mine,bg_rye_farms bg_livestock_ranches,bg_iron_mining=18 bg_logging=11 bg_fishing=5,3019,
STATE_ICELAND,11,cu:icelandic,building_subsistence_fishing_villages,xB5D7AC,x0578F9,x27F04F,x45F99B,x09AC69,5,x285571 x004160 xD51DB5 x5AED3F x894E8F x6BE524 xF65D73 x808FE7 x8BDAD5 xF8054C xCC60C4 x9832AA x933D7E x251E56 x63D42C x571934 xA6BB87 xC3D20F x5DEB93 x668EB2 x0D5D48 x9D7B96 x70DC28 x8B7790 x22E916 xB5D7AC x160AFE x1FAD4E x2720D0 x6B8B1C x7DAE65 x7A16C0 x804040 x74FA3E x34920F x1E1FC1 xBD1A69 x555934 x853A46 x10DC5B x85D626 x7AA0B3 x45F99B x5CFCC7 xCF05D9 xF07C2C xE2B048 x27F04F x2971FB x2A8549 x22B84A x943FCD x08D106 x4F18CA xC59154 x0578F9 x7F72E8 xBA991B xEB01CE x581B4C x90A249 x678B7C x7E9967 xC72379 xEBDBE0 x09AC69 x6DF0C4 x2362E4 xFEF5A7 x317A6A,state_trait_arctic_whaling,bg_rye_farms bg_livestock_ranches,bg_sulfur_mining=20 bg_whaling=5 bg_fishing=3,3022,
